title,release_date,studio
Academy Award Review of Walt Disney Cartoons,19-May-37,Walt Disney Animation Studios
Snow White and the Seven Dwarfs,21-Dec-37,Walt Disney Animation Studios
Pinocchio,7-Feb-40,Walt Disney Animation Studios
Fantasia,13-Nov-40,Walt Disney Animation Studios
Dumbo,23-Oct-41,Walt Disney Animation Studios
Bambi,13-Aug-42,Walt Disney Animation Studios
Saludos Amigos,24-Aug-42,Walt Disney Animation Studios
Victory Through Air Power,17-Jul-43,Walt Disney Animation Studios
The Three Caballeros,21-Dec-44,Walt Disney Animation Studios
Make Mine Music,20-Apr-46,Walt Disney Animation Studios
Song of the South,12-Nov-46,Walt Disney Animation Studios
Fun and Fancy Free,27-Sep-47,Walt Disney Animation Studios
Melody Time,27-May-48,Walt Disney Animation Studios
The Adventures of Ichabod and Mr. Toad,5-Oct-49,Walt Disney Animation Studios
Cinderella,15-Feb-50,Walt Disney Animation Studios
Alice in Wonderland,28-Jul-51,Walt Disney Animation Studios
Peter Pan,5-Feb-53,Walt Disney Animation Studios
Lady and the Tramp,22-Jun-55,Walt Disney Animation Studios
Sleeping Beauty,29-Jan-59,Walt Disney Animation Studios
One Hundred and One Dalmatians,25-Jan-61,Walt Disney Animation Studios
The Sword in the Stone,25-Dec-63,Walt Disney Animation Studios
The Jungle Book,18-Oct-67,Walt Disney Animation Studios
The Aristocats,24-Dec-70,Walt Disney Animation Studios
Robin Hood,8-Nov-73,Walt Disney Animation Studios
The Many Adventures of Winnie the Pooh,11-Mar-77,Walt Disney Animation Studios
The Rescuers,22-Jun-77,Walt Disney Animation Studios
The Fox and the Hound,10-Jul-81,Walt Disney Animation Studios
The Black Cauldron,24-Jul-85,Walt Disney Animation Studios
The Great Mouse Detective,2-Jul-86,Walt Disney Animation Studios
Oliver & Company,18-Nov-88,Walt Disney Animation Studios
The Little Mermaid,17-Nov-89,Walt Disney Animation Studios
The Rescuers Down Under,16-Nov-90,Walt Disney Animation Studios
Beauty and the Beast,22-Nov-91,Walt Disney Animation Studios
Aladdin,25-Nov-92,Walt Disney Animation Studios
The Lion King,15-Jun-94,Walt Disney Animation Studios
Pocahontas,23-Jun-95,Walt Disney Animation Studios
Toy Story,22-Nov-95,Pixar Animation Studios
The Hunchback of Notre Dame,21-Jun-96,Walt Disney Animation Studios
Hercules,27-Jun-97,Walt Disney Animation Studios
Mulan,19-Jun-98,Walt Disney Animation Studios
A Bug's Life,25-Nov-98,Pixar Animation Studios
Tarzan,18-Jun-99,Walt Disney Animation Studios
Toy Story 2,24-Nov-99,Pixar Animation Studios
Fantasia 2000,17-Dec-99,Walt Disney Animation Studios
Dinosaur,19-May-00,Walt Disney Animation Studios
The Emperor's New Groove,15-Dec-00,Walt Disney Animation Studios
Atlantis: The Lost Empire,15-Jun-01,Walt Disney Animation Studios
"Monsters, Inc.",2-Nov-01,Pixar Animation Studios
Lilo & Stitch,21-Jun-02,Walt Disney Animation Studios
Treasure Planet,27-Nov-02,Walt Disney Animation Studios
Finding Nemo,30-May-03,Pixar Animation Studios
Brother Bear,1-Nov-03,Walt Disney Animation Studios
Home on the Range,2-Apr-04,Walt Disney Animation Studios
The Incredibles,5-Nov-04,Pixar Animation Studios
Chicken Little,4-Nov-05,Walt Disney Animation Studios
Cars,9-Jun-06,Pixar Animation Studios
Meet the Robinsons,30-Mar-07,Walt Disney Animation Studios
Ratatouille,29-Jun-07,Pixar Animation Studios
WALL-E,27-Jun-08,Pixar Animation Studios
Bolt,28-Nov-08,Walt Disney Animation Studios
Up,29-May-09,Pixar Animation Studios
The Princess and the Frog,11-Dec-09,Walt Disney Animation Studios
Toy Story 3,18-Jun-10,Pixar Animation Studios
Tangled,24-Nov-10,Walt Disney Animation Studios
Cars 2,24-Jun-11,Pixar Animation Studios
Winnie the Pooh,15-Jul-11,Walt Disney Animation Studios
Brave,22-Jun-12,Pixar Animation Studios
Wreck-It Ralph,2-Nov-12,Walt Disney Animation Studios
Monsters University,21-Jun-13,Pixar Animation Studios
Frozen,27-Nov-13,Walt Disney Animation Studios
Big Hero 6,7-Nov-14,Walt Disney Animation Studios
Inside Out,19-Jun-15,Pixar Animation Studios
The Good Dinosaur,25-Nov-15,Pixar Animation Studios
Zootopia,4-Mar-16,Walt Disney Animation Studios
Finding Dory,17-Jun-16,Pixar Animation Studios
Moana,23-Nov-16,Walt Disney Animation Studios
Cars 3,16-Jun-17,Pixar Animation Studios
