title,release_date,studio,mom,dad
Academy Award Review of Walt Disney Cartoons,19-May-37,Walt Disney Animation Studios,0,0
Snow White and the Seven Dwarfs,21-Dec-37,Walt Disney Animation Studios,1,0
Pinocchio,7-Feb-40,Walt Disney Animation Studios,0,0
Fantasia,13-Nov-40,Walt Disney Animation Studios,0,0
Dumbo,23-Oct-41,Walt Disney Animation Studios,0,0
Bambi,13-Aug-42,Walt Disney Animation Studios,1,0
Saludos Amigos,24-Aug-42,Walt Disney Animation Studios,0,0
Victory Through Air Power,17-Jul-43,Walt Disney Animation Studios,0,0
The Three Caballeros,21-Dec-44,Walt Disney Animation Studios,0,0
Make Mine Music,20-Apr-46,Walt Disney Animation Studios,0,0
Song of the South,12-Nov-46,Walt Disney Animation Studios,0,0
Fun and Fancy Free,27-Sep-47,Walt Disney Animation Studios,0,0
Melody Time,27-May-48,Walt Disney Animation Studios,0,0
The Adventures of Ichabod and Mr. Toad,5-Oct-49,Walt Disney Animation Studios,0,0
Cinderella,15-Feb-50,Walt Disney Animation Studios,1,1
Alice in Wonderland,28-Jul-51,Walt Disney Animation Studios,0,0
Peter Pan,5-Feb-53,Walt Disney Animation Studios,0,0
Lady and the Tramp,22-Jun-55,Walt Disney Animation Studios,0,0
Sleeping Beauty,29-Jan-59,Walt Disney Animation Studios,0,0
One Hundred and One Dalmatians,25-Jan-61,Walt Disney Animation Studios,0,0
The Sword in the Stone,25-Dec-63,Walt Disney Animation Studios,1,1
The Jungle Book,18-Oct-67,Walt Disney Animation Studios,1,1
The Aristocats,24-Dec-70,Walt Disney Animation Studios,0,0
Robin Hood,8-Nov-73,Walt Disney Animation Studios,0,0
The Many Adventures of Winnie the Pooh,11-Mar-77,Walt Disney Animation Studios,0,0
The Rescuers,22-Jun-77,Walt Disney Animation Studios,1,1
The Fox and the Hound,10-Jul-81,Walt Disney Animation Studios,1,0
The Black Cauldron,24-Jul-85,Walt Disney Animation Studios,1,1
The Great Mouse Detective,2-Jul-86,Walt Disney Animation Studios,1,0
Oliver & Company,18-Nov-88,Walt Disney Animation Studios,1,1
The Little Mermaid,17-Nov-89,Walt Disney Animation Studios,1,0
Beauty and the Beast,22-Nov-91,Walt Disney Animation Studios,1,0
Aladdin,25-Nov-92,Walt Disney Animation Studios,1,1
The Lion King,15-Jun-94,Walt Disney Animation Studios,1,1
Pocahontas,23-Jun-95,Walt Disney Animation Studios,1,0
Toy Story,22-Nov-95,Pixar Animation Studios,1,0
The Hunchback of Notre Dame,21-Jun-96,Walt Disney Animation Studios,1,1
Hercules,27-Jun-97,Walt Disney Animation Studios,0,0
Mulan,19-Jun-98,Walt Disney Animation Studios,0,0
A Bug's Life,25-Nov-98,Pixar Animation Studios,0,0
Tarzan,18-Jun-99,Walt Disney Animation Studios,1,1
Fantasia 2000,17-Dec-99,Walt Disney Animation Studios,0,0
Dinosaur,19-May-00,Walt Disney Animation Studios,1,0
The Emperor's New Groove,15-Dec-00,Walt Disney Animation Studios,1,1
Atlantis: The Lost Empire,15-Jun-01,Walt Disney Animation Studios,1,0
"Monsters, Inc.",2-Nov-01,Pixar Animation Studios,0,0
Lilo & Stitch,21-Jun-02,Walt Disney Animation Studios,1,1
Treasure Planet,27-Nov-02,Walt Disney Animation Studios,0,1
Finding Nemo,30-May-03,Pixar Animation Studios,1,0
Brother Bear,1-Nov-03,Walt Disney Animation Studios,1,0
Home on the Range,2-Apr-04,Walt Disney Animation Studios,0,0
The Incredibles,5-Nov-04,Pixar Animation Studios,0,0
Chicken Little,4-Nov-05,Walt Disney Animation Studios,1,0
Cars,9-Jun-06,Pixar Animation Studios,0,0
Meet the Robinsons,30-Mar-07,Walt Disney Animation Studios,1,1
Ratatouille,29-Jun-07,Pixar Animation Studios,1,1
WALL-E,27-Jun-08,Pixar Animation Studios,0,0
Bolt,28-Nov-08,Walt Disney Animation Studios,0,0
Up,29-May-09,Pixar Animation Studios,0,0
The Princess and the Frog,11-Dec-09,Walt Disney Animation Studios,0,1
Tangled,24-Nov-10,Walt Disney Animation Studios,0,0
Winnie the Pooh,15-Jul-11,Walt Disney Animation Studios,0,0
Brave,22-Jun-12,Pixar Animation Studios,0,0
Wreck-It Ralph,2-Nov-12,Walt Disney Animation Studios,0,0
Frozen,27-Nov-13,Walt Disney Animation Studios,1,1
Big Hero 6,7-Nov-14,Walt Disney Animation Studios,1,1
Inside Out,19-Jun-15,Pixar Animation Studios,0,0
The Good Dinosaur,25-Nov-15,Pixar Animation Studios,1,1
Zootopia,4-Mar-16,Walt Disney Animation Studios,0,0
Moana,23-Nov-16,Walt Disney Animation Studios,0,0
,,,,
