title,character,parent,description,onscreen,notes,character_gender
Snow White and the Seven Dwarfs,Snow White,mom,deceased,n,,f
Beauty and the Beast,Belle,mom,deceased,n,,f
Bambi,Bambi,mom,murdered by hunter,y,,m
The Fox and the Hound,Tod,mom,murdered by hunter,y,,m
Cinderella,Cinderella,mom,deceased,n,,f
The Sword in the Stone,Arthur,mom,orphan,n,,m
The Sword in the Stone,Arthur,dad,orphan,n,,m
The Jungle Book,Mowgli,mom,deceased,n,,m
The Jungle Book,Mowgli,dad,deceased,n,,m
The Rescuers,Penny,mom,orphan,n,,f
The Rescuers,Penny,dad,orphan,n,,f
The Great Mouse Detective,Olivia Flaversham,mom,deceased,n,,f
The Little Mermaid,Ariel,mom,deceased,n,later revealed to be killed by a pirate ship,f
Aladdin,Aladdin,mom,orphan,n,,m
Aladdin,Aladdin,dad,orphan,n,,m
Aladdin,Jasmine,mom,deceased,n,,f
Pocahontas,Pocahontas,mom,deceased,n,,f
The Hunchback of Notre Dame,Quasimodo,mom,murdered by Judge Frollo,y,,m
The Hunchback of Notre Dame,Quasimodo,dad,none,n,,m
Oliver & Company,Oliver,mom,orphan,n,,m
Oliver & Company,Oliver,dad,orphan,n,,m
Tarzan,Tarzan,mom,killed by leopard,y,,m
Tarzan,Tarzan,dad,killed by leopard,y,,m
The Emperor's New Groove,Kuzco,mom,none,n,,m
The Emperor's New Groove,Kuzco,dad,drowned,n,,m
Atlantis: The Lost Empire,Kida,mom,sacrificed self,y,,f
Lilo & Stitch,"Lilo, Nani",mom,car accident,n,"parents died during rain, so she feeds the fish because he controls the weather",f
Lilo & Stitch,"Lilo, Nani",dad,car accident,n,,f
Finding Nemo,Nemo,mom,eaten by barracuda,y,,m
Brother Bear,Koda,mom,killed by Kenai,y,Kenai kills Koda's mom as revenge for a bear killing his brother,m
Ratatouille,Linguini,mom,deceased,n,,m
Ratatouille,Linguini,dad,deceased,n,son of Auguste Gusteau,m
Frozen,"Elsa, Anna",mom,drowned,y,,f
Frozen,"Elsa, Anna",dad,drowned,y,,f
The Princess and the Frog,Tiana,dad,died in world war I,n,,f
Cinderella,Cinderella,dad,deceased,n,,f
The Lion King,Simba,mom,none,n,,m
The Lion King,Simba,dad,murdered by Scar,y,,m
Big Hero 6,Hiro,mom,orphan,n,,m
Big Hero 6,Hiro,dad,orphan,n,,m
Meet the Robinsons,Lewis,dad,orphan,n,,m
Meet the Robinsons,Lewis,mom,orphan,n,,m
Dumbo,Dumbo,dad ,none,n,,m
Treasure Planet,Jim,dad,left family,n,,m
Ratatouille,Remy,mom,none,n,,m
Mulan,Shang,dad,killed by huns,y,,m
Dinosaur,Aladar,dad,none,n,,m
Chicken Little,Chicken Little,mom,none,n,,m
The Good Dinosaur,Arlo,dad,dies saving Arlo from flood,y,,m
The Black Cauldron,Taran,mom,orphan,n,,m
Dinosaur,Aladar,mom,forced to abandon son,y,,m
The Black Cauldron,Taran,dad,orphan,n,,m
The Good Dinosaur,Spot,mom,orphan,n,,m
The Good Dinosaur,Spot,dad,orphan,n,,m
Toy Story,Andy,dad,none,n,,m
Tarzan,Jane,mom,none,n,,f
